domain,cohort,task,model,train_input,test_or_condition,metric,estimate,point,ci_lower,ci_upper,formatted_95ci,n_subjects,n_seeds,n_bootstrap,source_file
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,aperiodic,balanced_accuracy,aperiodic,0.508647,0.488580,0.528069,"0.509 [0.489, 0.528]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,flattened,balanced_accuracy,flattened,0.203846,0.201282,0.207051,"0.204 [0.201, 0.207]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,retention_aperiodic,balanced_accuracy,retention_aperiodic,0.733583,0.713826,0.752613,"0.734 [0.714, 0.753]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,retention_flattened,balanced_accuracy,retention_flattened,0.293992,0.285159,0.303771,"0.294 [0.285, 0.304]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,drop_aperiodic,balanced_accuracy,drop_aperiodic,0.184727,0.170845,0.199080,"0.185 [0.171, 0.199]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,drop_flattened,balanced_accuracy,drop_flattened,0.489528,0.470075,0.508073,"0.490 [0.470, 0.508]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,baseline,macro_f1,baseline,0.626365,0.604106,0.647647,"0.626 [0.604, 0.648]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,aperiodic,macro_f1,aperiodic,0.424014,0.403010,0.445323,"0.424 [0.403, 0.445]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,flattened,macro_f1,flattened,0.089986,0.083350,0.096925,"0.090 [0.083, 0.097]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,retention_aperiodic,macro_f1,retention_aperiodic,0.676943,0.652224,0.701215,"0.677 [0.652, 0.701]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,retention_flattened,macro_f1,retention_flattened,0.143664,0.130882,0.157505,"0.144 [0.131, 0.158]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,drop_aperiodic,macro_f1,drop_aperiodic,0.202352,0.185793,0.219042,"0.202 [0.186, 0.219]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,drop_flattened,macro_f1,drop_flattened,0.536379,0.510998,0.560861,"0.536 [0.511, 0.561]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,baseline,accuracy,baseline,0.721985,0.701299,0.741424,"0.722 [0.701, 0.741]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
