test_input,statistic,mean,std,median,p05,p95
phase_sham,corr_vs_raw,0.9999999999999902,5.24417998751823e-16,0.9999999999999902,0.9999999999999893,0.9999999999999911
phase_aperiodic,mean,7.366373658924735e-10,8.543907685694463e-08,0.0,-1.2715658215256553e-07,1.2715658215256553e-07
phase_aperiodic,std,10.847739284101408,5.9704036629687485,9.411640644073486,4.477800178527832,23.13175344467163
phase_aperiodic,rms,10.84773928456707,5.970403663866751,9.411640644073486,4.477800178527832,23.13175344467163
phase_aperiodic,peak_to_peak,87.70759469573386,45.54889339330717,77.9109878540039,32.20395851135254,171.62165298461912
phase_aperiodic,skew,0.082517720333521,0.3333230395254675,0.06754106655716896,-0.3422864928841591,0.5740878075361252
phase_aperiodic,kurtosis,1.6769123522390146,2.5374901307594793,0.80669105052948,-0.05746474266052245,6.390936279296873
phase_aperiodic,line_length,2.895288991567213,1.567440529266436,2.659999370574951,1.532567125558853,5.7709584236145
phase_aperiodic,zero_crossing_rate,0.13218676244946231,0.05758349284397379,0.1247082360786929,0.05801933977992664,0.24141380460153383
phase_aperiodic,rmse_vs_raw,5.433986928939703,2.8445402081129303,4.833189249038696,2.3902997255325316,10.508143854141235
phase_aperiodic,corr_vs_raw,0.8633192554642427,0.05188906843879686,0.871526213188026,0.7797275216282196,0.9202436289308583
phase_flattened,mean,-7.598816679241314e-10,1.0211333791300179e-07,0.0,-1.5767415106893168e-07,1.5258788721439487e-07
phase_flattened,std,10.847739295422798,5.970403672122697,9.411640644073486,4.477800178527832,23.131754493713377
phase_flattened,rms,10.847739294840721,5.970403672841874,9.411640644073486,4.477800178527832,23.131754493713377
phase_flattened,peak_to_peak,91.91474429541267,51.16091941776179,81.29258728027344,35.18226509094238,181.68185882568346
phase_flattened,skew,0.03374166467883688,0.1812643916006746,0.03036639466881752,-0.19166778698563575,0.28310418874025345
phase_flattened,kurtosis,1.3788217572728172,2.6989965046644793,0.7251302003860474,-0.0429856538772583,4.782503247261046
phase_flattened,line_length,6.143274872563779,2.5719396743818526,5.8445494174957275,3.451199436187744,9.869267940521238
phase_flattened,zero_crossing_rate,0.28293472498645383,0.07673656400367876,0.2917639213071024,0.13771257085695232,0.40046682227409136
phase_flattened,rmse_vs_raw,7.809383113187323,5.3241461749503864,6.27883768081665,2.475311839580536,18.99446392059326
phase_flattened,corr_vs_raw,0.7491634623506003,0.09077665756552616,0.7451705859087987,0.6033230254440121,0.9214691419322715
raw_eeg,mean,-2.0496080983952673e-09,1.193877817849777e-07,0.0,-1.729329426325421e-07,1.729329426325421e-07
raw_eeg,std,12.335655346745625,8.276489966053063,9.98633861541748,3.9931806802749636,29.46578159332275
raw_eeg,rms,12.335655346803833,8.276489966637728,9.98633861541748,3.9931806802749636,29.46578159332275
raw_eeg,peak_to_peak,102.59420933877118,58.47140778862658,90.44054412841797,30.58529281616211,211.68194122314452
raw_eeg,skew,0.035249149671522595,0.4160519231000738,0.08343551307916641,-0.8020609736442565,0.5655488967895508
raw_eeg,kurtosis,2.2434651498915628,2.95260984123333,1.291426181793213,-0.028262031078338624,7.718428516387938
raw_eeg,line_length,3.643645914053195,2.6840027038844725,2.9153376817703247,1.2503695607185363,9.035375881195069
raw_eeg,zero_crossing_rate,0.14923989148726657,0.07563994998453463,0.13304434811603869,0.05368456152050684,0.3085861953984661
phase_sham,mean,-1.083399755718033e-09,8.447150681314865e-08,0.0,-1.2207031829802872e-07,1.2207031829802872e-07
phase_sham,std,12.335655324161053,8.27648994685886,9.98633861541748,3.993180787563324,29.465780544281003
phase_sham,rms,12.335655324161053,8.276489946469912,9.98633861541748,3.993180787563324,29.465780544281003
phase_sham,peak_to_peak,102.5942093427293,58.471407962551524,90.4405403137207,30.585291957855226,211.68195800781248
phase_sham,skew,0.03524915082005631,0.41605192210903086,0.08343550935387611,-0.8020609736442565,0.5655488163232804
phase_sham,kurtosis,2.2434651816729456,2.952609872530545,1.2914259433746338,-0.028261685371398927,7.718426418304442
phase_sham,line_length,3.6436459088145057,2.6840027015893466,2.9153376817703247,1.2503695607185363,9.035375881195069
phase_sham,zero_crossing_rate,0.14923989148726657,0.07563994998453463,0.13304434811603869,0.05368456152050684,0.3085861953984661
phase_sham,rmse_vs_raw,1.7738654935622877e-06,1.184385300146458e-06,1.437483319932653e-06,5.673109484405359e-07,4.287064166419441e-06
phase_sham,corr_vs_raw,0.9999999999999902,5.63373649541737e-16,0.9999999999999902,0.9999999999999893,0.9999999999999912
phase_aperiodic,mean,-4.458318906788066e-10,9.82609974290655e-08,0.0,-1.4750162335985806e-07,1.4241535950532125e-07
phase_aperiodic,std,12.335655348870205,8.276489983828334,9.98633861541748,3.993180572986603,29.465780544281003
phase_aperiodic,rms,12.33565534875379,8.27648998368995,9.98633861541748,3.993180572986603,29.465780544281003
phase_aperiodic,peak_to_peak,98.90996352629736,57.693784140567516,85.63021087646484,30.648713302612304,206.716689300537
phase_aperiodic,skew,0.025698673542637468,0.35106863309965014,0.042236385866999626,-0.5736743241548538,0.5182634532451629
phase_aperiodic,kurtosis,1.9193763355724514,2.741957746292031,1.0037569999694824,-0.08884172439575194,6.854275798797606
phase_aperiodic,line_length,3.3298208976193564,2.8430231495707763,2.3052538633346558,1.168260782957077,9.279641771316527
phase_aperiodic,zero_crossing_rate,0.13499893844823274,0.08248751420297704,0.11470490163387796,0.043014338112704234,0.31610536845615206
phase_aperiodic,rmse_vs_raw,5.825059112030431,3.5392719072650674,4.934621334075928,2.223268783092499,12.44838843345642
phase_aperiodic,corr_vs_raw,0.8728862212322913,0.048041452906307465,0.8797660431189451,0.798372701770712,0.9316704514855534
phase_flattened,mean,-1.458645139162983e-09,1.235847651030068e-07,0.0,-1.729329426325421e-07,1.729329426325421e-07
phase_flattened,std,12.335655356990173,8.276489980581964,9.98633861541748,3.9931806564331054,29.46578159332275
phase_flattened,rms,12.335655357252108,8.276489980314,9.98633861541748,3.9931806564331054,29.46578159332275
phase_flattened,peak_to_peak,103.6614515837282,66.88943247675037,85.71346282958984,35.743875885009764,232.2303833007812
phase_flattened,skew,-0.028710077985985016,0.2262646391370647,-0.0050380346365273,-0.40412088632583615,0.24000154361128806
phase_flattened,kurtosis,1.60846675861103,2.724349103825793,0.8739163875579834,-0.19965856075286864,5.446911430358886
phase_flattened,line_length,6.516714825062081,4.035662018608157,5.372986793518066,2.492811620235443,13.867875862121581
phase_flattened,zero_crossing_rate,0.2667366172838863,0.09309821197185399,0.2784261420473491,0.08869623207735912,0.4128042680893631
phase_flattened,rmse_vs_raw,8.806602630061576,7.25203509788066,6.757347106933594,1.9311583817005158,23.622073745727537
phase_flattened,corr_vs_raw,0.743362080177475,0.11039034543189777,0.731892475660257,0.5807508639726833,0.964038566958307
raw_eeg,mean,-1.8118492403428705e-09,1.5409218710771328e-07,0.0,-2.2099812184706018e-07,2.136230534688366e-07
raw_eeg,std,15.204021586745512,9.722826249937144,11.977346420288086,6.20250256061554,32.56602001190185
raw_eeg,rms,15.204021585930604,9.722826250595835,11.977346420288086,6.20250256061554,32.56602001190185
raw_eeg,peak_to_peak,113.59965138160624,54.03227316897425,105.16499328613281,48.3472562789917,216.98973693847654
raw_eeg,skew,0.06319006494958135,0.3166875341400372,0.071356151252985,-0.43263086080551144,0.5268286615610123
raw_eeg,kurtosis,1.618379831474158,2.0170701251408776,1.0355300903320312,-0.273258650302887,5.403027248382568
raw_eeg,line_length,3.734108398668468,2.2065961779995025,3.0787806510925293,1.9452236533164977,6.966159939765929
raw_eeg,zero_crossing_rate,0.13175721659824108,0.07237005068220254,0.11703901300433478,0.046348782927642544,0.3021007002334111
phase_sham,mean,-1.4624868863958185e-09,1.094209547855872e-07,0.0,-1.627604149234685e-07,1.5767415106893168e-07
phase_sham,std,15.204021548037417,9.722826229440447,11.977346420288086,6.20250256061554,32.56602001190185
phase_sham,rms,15.204021547804587,9.722826229551382,11.977346420288086,6.20250256061554,32.56602001190185
phase_sham,peak_to_peak,113.59965121909045,54.03227320684484,105.16498947143555,48.3472541809082,216.98973007202147
phase_sham,skew,0.0631900656107347,0.3166875359556176,0.0713561475276947,-0.43263087421655655,0.5268286675214767
phase_sham,kurtosis,1.6183798584825126,2.0170701402650884,1.0355305671691895,-0.27325843572616576,5.403027248382568
phase_sham,line_length,3.734108387492597,2.2065961749833836,3.0787806510925293,1.9452236413955688,6.966159939765929
phase_sham,zero_crossing_rate,0.13175721659824108,0.07237005068220254,0.11703901300433478,0.046348782927642544,0.3021007002334111
phase_sham,rmse_vs_raw,2.1891789910161163e-06,1.4103033925228178e-06,1.733058809350041e-06,8.845393523415623e-07,4.753451889882854e-06
phase_sham,corr_vs_raw,0.9999999999999902,5.369009606533019e-16,0.9999999999999902,0.9999999999999895,0.9999999999999911
phase_aperiodic,mean,-8.722999086290331e-10,1.277025189955518e-07,0.0,-1.8310547034161573e-07,1.8310547034161573e-07
phase_aperiodic,std,15.20402158505749,9.722826221640954,11.97734546661377,6.202503037452698,32.56602001190185
phase_aperiodic,rms,15.204021585697774,9.722826223234312,11.97734546661377,6.202503037452698,32.56602001190185
phase_aperiodic,peak_to_peak,112.02757853502408,56.204537128335936,101.81205749511719,46.176605987548825,213.43146514892575
phase_aperiodic,skew,0.04927166871352462,0.28263409499352593,0.047566935420036316,-0.36614405959844587,0.48574672639369953
phase_aperiodic,kurtosis,1.4054798767901957,1.9525291158120823,0.8212374448776245,-0.25537576675415036,5.0731700420379635
phase_aperiodic,line_length,3.4059310873999493,2.3948225606695877,2.656699061393738,1.6143496453762054,7.5476298332214355
phase_aperiodic,zero_crossing_rate,0.11770350045067104,0.07746301196806099,0.0970323441147049,0.039679893297765924,0.30591863954651544
phase_aperiodic,rmse_vs_raw,7.0876208164118,4.395087290438405,5.705787420272827,3.073890042304993,15.036127042770376
phase_aperiodic,corr_vs_raw,0.8829224082372884,0.03842715186126163,0.8868047764933886,0.8286607880456559,0.9289595073726867
phase_flattened,mean,-1.570636808356481e-09,1.6101593379329298e-07,0.0,-2.4414063659605745e-07,2.4414063659605745e-07
phase_flattened,std,15.204021575598745,9.722826217861941,11.977346897125244,6.20250256061554,32.56601791381836
phase_flattened,rms,15.204021574551007,9.722826216103982,11.977346897125244,6.20250256061554,32.56601791381836
phase_flattened,peak_to_peak,121.09425895777531,73.45690983618117,103.24945068359375,48.970989036560056,252.74901580810544
phase_flattened,skew,0.010124786605568759,0.1579962596717609,0.008086492773145437,-0.20707788988947867,0.23929143399000166
phase_flattened,kurtosis,1.1678246422670782,2.280748198132772,0.664513111114502,-0.26741063594818115,3.903429245948791
phase_flattened,line_length,7.0172775681712665,3.321343978181572,6.113862037658691,3.8167988300323485,12.872271537780762
phase_flattened,zero_crossing_rate,0.24164264064584026,0.09448454030282992,0.2464154718239413,0.08036012004001333,0.4058019339779927
phase_flattened,rmse_vs_raw,12.112832346455548,10.079115448210377,9.17886209487915,2.555804967880249,28.816170215606686
phase_flattened,corr_vs_raw,0.7013536346814919,0.12068384874193502,0.6860339041398096,0.5301846692952902,0.9515258151518395
raw_eeg,mean,2.578599154811961e-10,7.891708999153856e-08,0.0,-1.2207031829802872e-07,1.2207031829802872e-07
raw_eeg,std,9.23501253518043,5.0833570168920845,7.949995040893555,3.716710293292999,19.573845291137694
