model,task,metric,estimate,point,ci_lower,ci_upper,ci,n_seeds,n_subjects,n_bootstrap,bootstrap_unit_1,bootstrap_unit_2
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,retention_sham,0.9999307844351447,0.9996212128334289,1.0,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,retention_aperiodic,0.9385587979999229,0.8226991269108606,1.065951368256953,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,retention_flattened,0.776294881498779,0.6515146710640234,0.8935533925810639,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,drop_sham,4.9780963759404884e-05,0.0,0.00029868578255676237,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,drop_aperiodic,0.044189515125612866,-0.04501896710568282,0.13122962619067802,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,drop_flattened,0.1608923718268781,0.0748315505367788,0.2505368041982033,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,baseline,0.7174217813749857,0.6191416548274518,0.8072046517557881,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,sham,0.7174217813749857,0.6191416548274518,0.8072046517557881,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,aperiodic,0.6861011215847084,0.5813615579139915,0.7815961987049943,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,flattened,0.5085932715111485,0.39399653588729766,0.6247760714458808,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,retention_sham,1.0,1.0,1.0,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,retention_aperiodic,0.9563427531705976,0.822126815627236,1.0974069851075905,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,retention_flattened,0.7089180795938427,0.5800208969974254,0.831830032206695,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,drop_sham,0.0,0.0,0.0,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,drop_aperiodic,0.031320659790277317,-0.06480234111913401,0.13294756103171948,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,drop_flattened,0.20882850986383716,0.1180069714020828,0.30259703122262865,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,macro_f1,baseline,0.38412464887183667,0.33826075042725984,0.4265006759820872,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,macro_f1,sham,0.38412464887183667,0.33826075042725984,0.4265006759820872,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,macro_f1,aperiodic,0.371461356116347,0.32045620504819927,0.4165760348374953,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,macro_f1,flattened,0.2772764993828362,0.22096381447092406,0.336154721569201,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,macro_f1,retention_sham,1.0,1.0,1.0,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,macro_f1,retention_aperiodic,0.9670333762941759,0.8433018204632866,1.0888246519220148,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,macro_f1,retention_flattened,0.7218399032636659,0.6042341745266916,0.8391404596028897,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,macro_f1,drop_sham,0.0,0.0,0.0,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,macro_f1,drop_aperiodic,0.012663292755489663,-0.03213228068271126,0.062301378387637156,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,macro_f1,drop_flattened,0.10684814948900045,0.0611307168352028,0.15229358420566552,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,accuracy,baseline,0.7174217813749857,0.6214670508281874,0.8048650728013568,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,accuracy,sham,0.7174217813749857,0.6214670508281874,0.8048650728013568,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,accuracy,aperiodic,0.6861011215847084,0.5838876833941747,0.7819659441340517,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,accuracy,flattened,0.5085932715111485,0.3904925337463251,0.6244873437309871,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,accuracy,retention_sham,1.0,1.0,1.0,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,accuracy,retention_aperiodic,0.9563427531705976,0.8211863395801926,1.0975523012743007,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,accuracy,retention_flattened,0.7089180795938427,0.5761332625090022,0.834663758777896,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,accuracy,drop_sham,0.0,0.0,0.0,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,accuracy,drop_aperiodic,0.031320659790277317,-0.06521554803253489,0.1336873276428306,0.95,3,54,10000,seed,subject
deep4,tuab_normal_vs_abnormal,accuracy,drop_flattened,0.20882850986383716,0.11709305329222053,0.304285153300572,0.95,3,54,10000,seed,subject
