model,task,metric,estimate,baseline_input,aperiodic_input,flattened_input,point,ci_lower,ci_upper,ci,n_folds,n_bootstrap
linear_ridge,five_stage,accuracy,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.44230200522145563,0.3791032088564306,0.5286678886786422,0.95,5,10000
linear_ridge,five_stage,accuracy,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.23914507320294554,0.20681780089895993,0.27361662635688544,0.95,5,10000
linear_ridge,five_stage,accuracy,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.405370929774083,0.33307339426798416,0.4676010259420098,0.95,5,10000
linear_ridge,five_stage,accuracy,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.5530385118587119,0.5210617451779207,0.5903861125288472,0.95,5,10000
deep_mlp,wake_vs_sleep,balanced_accuracy,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.9461925324993624,0.9394743867337159,0.955097447632516,0.95,5,10000
deep_mlp,wake_vs_sleep,balanced_accuracy,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.8117036488856663,0.7619725766406347,0.8562540737157015,0.95,5,10000
deep_mlp,wake_vs_sleep,balanced_accuracy,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.5,0.5,0.5,0.95,5,10000
deep_mlp,wake_vs_sleep,balanced_accuracy,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.8578630891765289,0.8066251646076353,0.9001451411905208,0.95,5,10000
deep_mlp,wake_vs_sleep,balanced_accuracy,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.5284336779526813,0.5235067911022,0.5322124871741923,0.95,5,10000
deep_mlp,wake_vs_sleep,balanced_accuracy,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.13448888361369615,0.09532018589011504,0.18212114634208454,0.95,5,10000
deep_mlp,wake_vs_sleep,balanced_accuracy,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.4461925324993624,0.43947438673371586,0.45509744763251603,0.95,5,10000
deep_mlp,wake_vs_sleep,macro_f1,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.9206500381577032,0.9108447150372376,0.930154383048502,0.95,5,10000
deep_mlp,wake_vs_sleep,macro_f1,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.8558268871819721,0.8128141823716313,0.8956747917009157,0.95,5,10000
