model,task,metric,estimate,point,ci_lower,ci_upper,ci,n_seeds,n_subjects,n_bootstrap,bootstrap_unit_1,bootstrap_unit_2
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,drop_sham,0.0,0.0,0.0,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,drop_aperiodic,0.060987195245563286,-0.014291002119821634,0.14028317789384787,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,drop_flattened,0.1585363383992192,0.06190476001532003,0.26107004199784445,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,baseline,0.40453719120928183,0.37089952222776257,0.43567916373037274,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,sham,0.40453719120928183,0.37089952222776257,0.43567916373037274,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,aperiodic,0.3818510132809498,0.34317753755686503,0.4167168599608102,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,flattened,0.3192300549108632,0.26523783679850754,0.37059849287269797,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,retention_sham,1.0,1.0,1.0,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,retention_aperiodic,0.9439206618790319,0.8571134258394904,1.0271677712438825,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,retention_flattened,0.7891241197294858,0.6685440526205049,0.9028572970778695,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,drop_sham,0.0,0.0,0.0,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,drop_aperiodic,0.022686177928332052,-0.010624588519732421,0.05915468977334978,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,drop_flattened,0.08530713629841863,0.03870138022752131,0.13535421406621764,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,baseline,0.7631319193002424,0.6903182963669305,0.8325245971850989,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,sham,0.7631319193002424,0.6903182963669305,0.8325245971850989,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,aperiodic,0.7021447240546791,0.6190318034992467,0.777985462053454,0.95,3,80,10000,seed,subject
