model,task,metric,estimate,point,ci_lower,ci_upper,ci,n_seeds,n_subjects,n_bootstrap,bootstrap_unit_1,bootstrap_unit_2,p_one_sided_positive,p_two_sided_zero,n_bootstrap_nonpositive,n_bootstrap_nonnegative,n_bootstrap_valid
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,sham,0.7578859207338438,0.7092772261671993,0.8062754742556101,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,aperiodic,0.6018686651223948,0.5371312605321689,0.6653640657849157,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,flattened,0.6758778092628285,0.6139743535676105,0.7346404968173912,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,retention_sham,1.0,1.0,1.0,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,retention_aperiodic,0.7941415042248298,0.7094053597411427,0.8833202017514857,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,retention_flattened,0.8917935942237736,0.812433395192724,0.9717291293114495,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,drop_sham,0.0,0.0,0.0,0.95,3,174,10000,seed,subject,1.0,1.0,10000,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,drop_aperiodic,0.15601725561144897,0.08536553008800027,0.22491355048731732,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,drop_flattened,0.08200811147101528,0.0207375000802452,0.1449358447278102,0.95,3,174,10000,seed,subject,0.0057,0.0114,57,9943,10000
deep4,tuab_normal_vs_abnormal,balanced_accuracy,baseline,0.7635130227008098,0.7139283448301756,0.8107808782528634,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,balanced_accuracy,sham,0.7634810942206055,0.7139259501941603,0.8107492431575747,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,balanced_accuracy,aperiodic,0.6545981931826196,0.5821897518608657,0.7225359254867153,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,balanced_accuracy,flattened,0.550485239609123,0.4588128264600621,0.6400472341440713,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,balanced_accuracy,retention_sham,0.9999581821406381,0.9997541036580968,1.0,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,balanced_accuracy,retention_aperiodic,0.8573503970725729,0.7589123924927443,0.9524970786735825,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,balanced_accuracy,retention_flattened,0.7209899808412779,0.6084563065348018,0.8434680651715399,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,balanced_accuracy,drop_sham,3.192848020427963e-05,0.0,0.00019157088122601085,0.95,3,174,10000,seed,subject,0.5507,1.0,5507,10000,10000
deep4,tuab_normal_vs_abnormal,balanced_accuracy,drop_aperiodic,0.1089148295181902,0.03520616769115612,0.18771502891655456,0.95,3,174,10000,seed,subject,0.0019,0.0038,19,9981,10000
deep4,tuab_normal_vs_abnormal,balanced_accuracy,drop_flattened,0.2130277830916868,0.11726896230128643,0.30222178749949075,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,macro_f1,baseline,0.4010698218241264,0.3766058569239703,0.42369594742567035,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,macro_f1,sham,0.401058881168431,0.3765583409696971,0.42369295585566036,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,macro_f1,aperiodic,0.3583682860566832,0.3197793446679864,0.39219971140887594,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,macro_f1,flattened,0.28480020346990415,0.23536528640722892,0.3368285957588398,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,macro_f1,retention_sham,0.999972721319082,0.9998383314463297,1.0,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,macro_f1,retention_aperiodic,0.8935309179503206,0.7885796935530351,0.9917658855211996,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,macro_f1,retention_flattened,0.7101013039938772,0.5955743462320041,0.8329636053117097,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,macro_f1,drop_sham,1.0940655695401702e-05,0.0,6.564393417229919e-05,0.95,3,174,10000,seed,subject,0.5625,1.0,5625,10000,10000
deep4,tuab_normal_vs_abnormal,macro_f1,drop_aperiodic,0.04270153576744323,0.0032700800640766917,0.0870070277284196,0.95,3,174,10000,seed,subject,0.0167,0.0334,167,9833,10000
deep4,tuab_normal_vs_abnormal,macro_f1,drop_flattened,0.11626961835422228,0.06687088547635783,0.16264051972120977,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,accuracy,baseline,0.7635130227008098,0.7149960762738637,0.810516408128296,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,accuracy,sham,0.7634810942206055,0.7149038586756652,0.8105113760546376,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,accuracy,aperiodic,0.6545981931826196,0.5822911021575373,0.7219652359197746,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,accuracy,flattened,0.550485239609123,0.4612089027311454,0.6415092436345662,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,accuracy,retention_sham,0.9999581821406381,0.9997533467349847,1.0,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,accuracy,retention_aperiodic,0.8573503970725729,0.7596479386408563,0.9518255347685827,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,accuracy,retention_flattened,0.7209899808412779,0.6089923792383687,0.8384593721114205,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,tuab_normal_vs_abnormal,accuracy,drop_sham,3.192848020427963e-05,0.0,0.00019157088122601085,0.95,3,174,10000,seed,subject,0.5519,1.0,5519,10000,10000
deep4,tuab_normal_vs_abnormal,accuracy,drop_aperiodic,0.1089148295181902,0.03561129453666254,0.18694079126431631,0.95,3,174,10000,seed,subject,0.002,0.004,20,9980,10000
deep4,tuab_normal_vs_abnormal,accuracy,drop_flattened,0.2130277830916868,0.12116127462934899,0.3022603576895338,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
